Year,GDP (constant 2015 US$) [Billions],"Inflation, consumer prices (annual %)","Unemployment, total (total labor force %) (modeled ILO estimate)",Real interest rate (%),"Central government debt, total (GDP %)",General government final consumption expenditure (GDP %),Exports of goods and services (GDP %),Imports of goods and services (GDP %),Population growth (annual %),"Industry (including construction), value added (GDP %)","Foreign direct investment, net inflows (GDP %)",Real effective exchange rate index (2020 = 100)
1993,338.818,10.61,10.1,7.531020949999999,35.07225,13.51037847,6.909351534,9.313799914,1.357965791,27.33873965,1.179802812,440.284675
1994,358.592,4.18,11.76,7.01009,35.60363749999999,13.18690437,7.529948726,10.60439714,1.347023786,26.75455869,1.411953029,443.3925
1995,348.389,3.38,18.8,14.23111,36.50845562499999,13.34945568,9.68041026,10.09101283,1.317554245,26.30121034,2.17392759,415.6558333333333
1996,367.644,0.16,17.11,10.56874,43.01803284374999,12.50167766,10.42859676,11.07787165,1.260410588,26.59256064,2.553203406,407.5858333333333
1997,397.464,0.53,14.82,9.75165,34.5,12.06201425,10.5608501,12.77532874,1.198264474,27.17915089,3.127877939,419.63000000000005
1998,412.767,0.92,12.65,12.55437,37.6,12.494775,10.41558196,12.93444601,1.158177636,26.71213576,2.438768962,436.1383333333333
1999,398.793,-1.17,14.05,13.11747,43.0,13.72321141,9.827174515,11.55557045,1.152043854,26.1936305,8.460582171,478.705
2000,395.646,-0.94,15.0,9.94507,45.7,13.78419131,10.98637523,11.63606955,1.133277022,25.99083601,3.665790595,475.33
2001,378.203,-1.07,17.32,29.12028,53.7,14.15627431,11.57900808,10.27324737,1.09917146,25.24343398,0.806164135,498.59
2002,336.999,25.87,19.59,16.1798,166.7,12.2352473,28.382597,13.37012736,1.07353835,30.55773709,2.198958195,226.04833333333332
2003,366.78,13.44,15.36,7.82885,139.2,11.43805679,25.93094293,14.7138051,1.032360859,32.6450991,1.294810869,227.3166666666667
2004,399.899,4.42,13.522,-9.78916,118.1,11.11463607,23.84761942,16.84502668,1.015336684,28.81692201,2.505017516,218.61249999999998
2005,435.297,9.64,11.506,-3.76574,80.5,12.14186124,23.24587673,17.30539424,1.033476224,28.62631404,2.649354415,215.64583333333334
2006,470.326,10.9,10.078,-4.4963,70.6,12.42941537,23.0266946,17.40678527,1.034671736,29.20327967,2.381068545,210.61166666666668
2007,512.691,8.83,8.47,-3.38254,62.1,12.9893239,22.66275031,18.28242031,1.006297331,27.41523613,2.251294236,205.14333333333332
2008,533.492,8.58,7.837,-3.00639,53.8,13.63351326,22.06090038,18.341773,0.992294094,26.27245994,2.689900965,199.55083333333334
2009,501.917,6.28,8.645,0.24039,55.5,15.90389675,19.56098506,14.49614185,1.014283893,25.2842048,1.206439226,186.84666666666666
2010,552.738,10.78,7.714,-8.56602872,43.5,15.16371789,18.93382341,16.03718986,0.255582398,25.25877626,2.675161719,180.43999999999997
2011,585.924,9.47,7.18,-7.773405236,38.9,15.68895652,18.44920915,16.75694585,1.15305928,25.21269761,2.044659979,171.96666666666667
2012,579.91,10.03,7.217,-6.748195554,40.4,16.64543781,16.23785946,14.28868291,1.136905694,24.42905706,2.8066719,177.64583333333334
2013,593.859,10.62,7.1,-5.485839182,43.5,16.8062378,14.61717339,14.71675561,1.1191092,24.00588144,1.779205536,163.09666666666666
2014,578.938,23.9,7.268,-11.60069877,44.7,16.94987574,14.40547859,14.00131506,1.099461091,24.27739449,0.96240665,134.33583333333334
2015,594.749,26.6,7.58,-1.314708785,52.5,18.09837976,10.70565205,11.78057404,1.078001344,23.15305614,1.977134618,155.58416666666668
2016,582.377,26.5,8.083,-7.006039843,53.1,17.65457819,12.52709517,13.56679268,1.057181578,22.05410721,0.584748941,128.54083333333332
2017,598.791,25.68,8.347,0.455892832,56.5,17.69689392,11.32028336,13.96931778,1.037133897,21.78212322,1.789365041,136.2875
2018,583.118,34.28,9.221,4.564409099,85.2,15.80509716,14.43668575,16.32585021,1.015808349,23.71959233,2.232531577,111.55
2019,571.451,53.55,9.843,12.10396965,89.8,16.44324159,17.92487838,14.70573667,0.993397493,23.15784774,1.485006876,98.84833333333334
2020,514.874,42.02,11.461,-7.635174216,103.9,16.87300738,16.60541444,13.59828437,0.970053991,22.40887637,1.266169243,100.00083333333333
2021,570.059,48.41,8.736,-11.88381637,80.6,15.738491,17.99658794,14.93343631,0.947490959,23.9172428,1.414798897,103.09583333333335
2022,598.313,94.8,6.805,-10.07372869,85.2,15.39692505,16.29956168,15.3509523,0.925835474,24.16370489,2.441377239,125.265
2023,589.036,211.4,6.178,-15.74522673,88.4,15.79853445,12.91942461,14.05239192,0.903771167,25.06638758,1.8595122990134922,126.59666666666668
